表1—12    省、自治区、直辖市分性别、月份的出生人口（1999.11.1-2000.10.31)
http://www.stats.gov.cn/tjsj/pcsj/rkpc/5rp/html/t0112.htm

重庆	302858	162081	140777	39331	21053	18278	40073	21383	18690	25459	13664	11795	24034	12911	11123	23734	12691	11043	20708	11009	9699	20615	11029	9586	20317	10915	9402	20521	10863	9658	23618	12675	10943	20552	11069	9483	23896	12819	11077
四川	862006	462955	399051	114192	61714	52478	103542	56128	47414	71997	38656	33341	68209	36332	31877	68295	36449	31846	59748	31962	27786	60864	32837	28027	59893	32110	27783	60038	32120	27918	66307	35515	30792	59351	31948	27403	69570	37184	32386
贵州	685345	354311	331034	101868	53628	48240	97389	50148	47241	55743	29329	26414	56900	29441	27459	54672	27884	26788	47332	24296	23036	46690	24165	22525	44274	22881	21393	42057	21759	20298	44805	22920	21885	41881	21569	20312	51734	26291	25443
云南	776712	404569	372143	111294	57848	53446	96185	50212	45973	62946	32565	30381	61848	32350	29498	59165	30713	28452	53451	27830	25621	51314	26844	24470	50044	26151	23893	49204	25506	23698	53301	27749	25552	54582	28510	26072	73378	38291	35087
西藏	51809	26253	25556	4760	2407	2353	6458	3301	3157	4493	2211	2282	4111	2069	2042	5013	2562	2451	4122	2085	2037	4450	2225	2225	4105	2091	2014	4061	2034	2027	3837	2034	1803	3233	1624	1609	3166	1610	1556
　																																							
陕西	349318	192037	157281	49128	27206	21922	39954	21762	18192	31002	17218	13784	28662	15689	12973	28838	15644	13194	24992	13809	11183	24932	13806	11126	23055	12658	10397	23185	12717	10468	24652	13558	11094	23450	12817	10633	27468	15153	12315
甘肃	345348	184585	160763	53837	28930	24907	47166	25116	22050	28316	15221	13095	26832	14444	12388	31542	16542	15000	22786	11921	10865	22221	12013	10208	20761	11158	9603	19718	10425	9293	21409	11505	9904	23905	12897	11008	26855	14413	12442
青海	77635	40728	36907	10061	5254	4807	8562	4515	4047	6560	3419	3141	6309	3284	3025	6262	3268	2994	5658	2967	2691	5776	3036	2740	5764	3080	2684	5541	2943	2598	5279	2740	2539	5201	2687	2514	6662	3535	3127
宁夏	90643	47229	43414	12289	6390	5899	9771	5012	4759	8951	4713	4238	7967	4133	3834	7571	3967	3604	6588	3318	3270	5955	3166	2789	5446	2838	2608	5378	2733	2645	5670	2949	2721	6261	3347	2914	8796	4663	4133
新疆	285426	146950	138476	29314	15083	14231	29045	15089	13956	25654	13161	12493	23167	
